sample_id,pop,subspecies,country,continent
110275590,CHIA,Bos taurus,Italy,Europe
110275600,CHIA,Bos taurus,Italy,Europe
110275610,CHIA,Bos taurus,Italy,Europe
110275620,CHIA,Bos taurus,Italy,Europe
110275630,CHIA,Bos taurus,Italy,Europe
110328660,CHIA,Bos taurus,Italy,Europe
110328680,CHIA,Bos taurus,Italy,Europe
110328690,CHIA,Bos taurus,Italy,Europe
110328700,CHIA,Bos taurus,Italy,Europe
100002140,AN,Bos taurus,Scotland,Europe
100003600,AN,Bos taurus,Scotland,Europe
100005750,AN,Bos taurus,Scotland,Europe
100005910,AN,Bos taurus,Scotland,Europe
100006430,AN,Bos taurus,Scotland,Europe
100007080,AN,Bos taurus,Scotland,Europe
100007490,AN,Bos taurus,Scotland,Europe
100007510,AN,Bos taurus,Scotland,Europe
100017170,AN,Bos taurus,Scotland,Europe
100017450,AN,Bos taurus,Scotland,Europe
100019350,AN,Bos taurus,Scotland,Europe
100023680,AN,Bos taurus,Scotland,Europe
100024050,AN,Bos taurus,Scotland,Europe
100030680,AN,Bos taurus,Scotland,Europe
100030840,AN,Bos taurus,Scotland,Europe
100030950,AN,Bos taurus,Scotland,Europe
100049530,AN,Bos taurus,Scotland,Europe
100208040,AN,Bos taurus,Scotland,Europe
100320500,AN,Bos taurus,Scotland,Europe
100321520,AN,Bos taurus,Scotland,Europe
204334779,BSW,Bos taurus,United States,Americas
204334789,BSW,Bos taurus,United States,Americas
204334799,BSW,Bos taurus,United States,Americas
204334839,BSW,Bos taurus,United States,Americas
204334859,BSW,Bos taurus,United States,Americas
204334869,BSW,Bos taurus,United States,Americas
204334889,BSW,Bos taurus,United States,Americas
204334899,BSW,Bos taurus,United States,Americas
204334909,BSW,Bos taurus,United States,Americas
204334929,BSW,Bos taurus,United States,Americas
204334969,BSW,Bos taurus,United States,Americas
204334999,BSW,Bos taurus,United States,Americas
BRU_2328,BSW,Bos taurus,United States,Americas
BRU_21723,BSW,Bos taurus,United States,Americas
BRU_21724,BSW,Bos taurus,United States,Americas
BRU_21725,BSW,Bos taurus,United States,Americas
BRU_21726,BSW,Bos taurus,United States,Americas
BRU_21727,BSW,Bos taurus,United States,Americas
BRU_21728,BSW,Bos taurus,United States,Americas
BRU_21729,BSW,Bos taurus,United States,Americas
205335579,GNS,Bos taurus,Guernsey Island,Europe
205335589,GNS,Bos taurus,Guernsey Island,Europe
205335599,GNS,Bos taurus,Guernsey Island,Europe
205335609,GNS,Bos taurus,Guernsey Island,Europe
205335619,GNS,Bos taurus,Guernsey Island,Europe
205335629,GNS,Bos taurus,Guernsey Island,Europe
205335639,GNS,Bos taurus,Guernsey Island,Europe
205335649,GNS,Bos taurus,Guernsey Island,Europe
205335659,GNS,Bos taurus,Guernsey Island,Europe
205335669,GNS,Bos taurus,Guernsey Island,Europe
205335679,GNS,Bos taurus,Guernsey Island,Europe
205335689,GNS,Bos taurus,Guernsey Island,Europe
205335699,GNS,Bos taurus,Guernsey Island,Europe
205335709,GNS,Bos taurus,Guernsey Island,Europe
205335719,GNS,Bos taurus,Guernsey Island,Europe
205335729,GNS,Bos taurus,Guernsey Island,Europe
205335739,GNS,Bos taurus,Guernsey Island,Europe
205335759,GNS,Bos taurus,Guernsey Island,Europe
205335769,GNS,Bos taurus,Guernsey Island,Europe
205335779,GNS,Bos taurus,Guernsey Island,Europe
101182610,HFD,Bos taurus,Wales,Europe
101182650,HFD,Bos taurus,Wales,Europe
101182830,HFD,Bos taurus,Wales,Europe
101208390,HFD,Bos taurus,Wales,Europe
101208400,HFD,Bos taurus,Wales,Europe
101208420,HFD,Bos taurus,Wales,Europe
101208510,HFD,Bos taurus,Wales,Europe
101208580,HFD,Bos taurus,Wales,Europe
101209080,HFD,Bos taurus,Wales,Europe
101209160,HFD,Bos taurus,Wales,Europe
101209180,HFD,Bos taurus,Wales,Europe
101209190,HFD,Bos taurus,Wales,Europe
101209230,HFD,Bos taurus,Wales,Europe
101342120,HFD,Bos taurus,Wales,Europe
101496960,HFD,Bos taurus,Wales,Europe
101497000,HFD,Bos taurus,Wales,Europe
101512650,HFD,Bos taurus,Wales,Europe
101512810,HFD,Bos taurus,Wales,Europe
101514110,HFD,Bos taurus,Wales,Europe
101514150,HFD,Bos taurus,Wales,Europe
LAG_9402,LAG,Bos taurus,Benin,Africa
LAG_9403,LAG,Bos taurus,Benin,Africa
LAG_9405,LAG,Bos taurus,Benin,Africa
LAG_9406,LAG,Bos taurus,Benin,Africa
LAG_9407,LAG,Bos taurus,Benin,Africa
LAG_9408,LAG,Bos taurus,Benin,Africa
LAG_9409,LAG,Bos taurus,Benin,Africa
LAG_9410,LAG,Bos taurus,Benin,Africa
LAG_9411,LAG,Bos taurus,Benin,Africa
LAG_9413,LAG,Bos taurus,Benin,Africa
LAG_9414,LAG,Bos taurus,Benin,Africa
LAG_9415,LAG,Bos taurus,Benin,Africa
LAG_9416,LAG,Bos taurus,Benin,Africa
LAG_9418,LAG,Bos taurus,Benin,Africa
LAG_9419,LAG,Bos taurus,Benin,Africa
LAG_9420,LAG,Bos taurus,Benin,Africa
LAG_9424,LAG,Bos taurus,Benin,Africa
LAG_9425,LAG,Bos taurus,Benin,Africa
LAG_9430,LAG,Bos taurus,Benin,Africa
LAG_9432,LAG,Bos taurus,Benin,Africa
102088570,LM,Bos taurus,France,Europe
102092420,LM,Bos taurus,France,Europe
102100710,LM,Bos taurus,France,Europe
102102440,LM,Bos taurus,France,Europe
102109410,LM,Bos taurus,France,Europe
102110110,LM,Bos taurus,France,Europe
102121490,LM,Bos taurus,France,Europe
102121710,LM,Bos taurus,France,Europe
102122000,LM,Bos taurus,France,Europe
102127810,LM,Bos taurus,France,Europe
102133450,LM,Bos taurus,France,Europe
102134620,LM,Bos taurus,France,Europe
102136810,LM,Bos taurus,France,Europe
102136830,LM,Bos taurus,France,Europe
102143330,LM,Bos taurus,France,Europe
102183370,LM,Bos taurus,France,Europe
102495940,LM,Bos taurus,France,Europe
102496020,LM,Bos taurus,France,Europe
102496030,LM,Bos taurus,France,Europe
102496040,LM,Bos taurus,France,Europe
JA1,YKT,Bos taurus,Russia,Asia
JA1s,YKT,Bos taurus,Russia,Asia
JA2,YKT,Bos taurus,Russia,Asia
JA3,YKT,Bos taurus,Russia,Asia
JA5,YKT,Bos taurus,Russia,Asia
JA5s,YKT,Bos taurus,Russia,Asia
JA6,YKT,Bos taurus,Russia,Asia
JA7,YKT,Bos taurus,Russia,Asia
JA8,YKT,Bos taurus,Russia,Asia
JA9,YKT,Bos taurus,Russia,Asia
JA10B,YKT,Bos taurus,Russia,Asia
JA11,YKT,Bos taurus,Russia,Asia
JA12,YKT,Bos taurus,Russia,Asia
JA13,YKT,Bos taurus,Russia,Asia
JA14A,YKT,Bos taurus,Russia,Asia
JA15,YKT,Bos taurus,Russia,Asia
JA16,YKT,Bos taurus,Russia,Asia
JA17,YKT,Bos taurus,Russia,Asia
JA18A,YKT,Bos taurus,Russia,Asia
JA19,YKT,Bos taurus,Russia,Asia
JA20B,YKT,Bos taurus,Russia,Asia
JA21,YKT,Bos taurus,Russia,Asia
JA22B,YKT,Bos taurus,Russia,Asia
JA23,YKT,Bos taurus,Russia,Asia
JA25,YKT,Bos taurus,Russia,Asia
JA25B,YKT,Bos taurus,Russia,Asia
JA26,YKT,Bos taurus,Russia,Asia
JA27,YKT,Bos taurus,Russia,Asia
JA29,YKT,Bos taurus,Russia,Asia
JA31A,YKT,Bos taurus,Russia,Asia
JA33,YKT,Bos taurus,Russia,Asia
JA34A,YKT,Bos taurus,Russia,Asia
JA37,YKT,Bos taurus,Russia,Asia
JA40,YKT,Bos taurus,Russia,Asia
JA44,YKT,Bos taurus,Russia,Asia
JA45,YKT,Bos taurus,Russia,Asia
JA49,YKT,Bos taurus,Russia,Asia
JA50,YKT,Bos taurus,Russia,Asia
JA51,YKT,Bos taurus,Russia,Asia
JA53,YKT,Bos taurus,Russia,Asia